name,rating,number_of_ratings,services,headquarter,highly_rated,critically_rated
TCS,3.7,84.6k,IT Services & Consulting,Mumbai,"Job Security, Work Life Balance","Promotions Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,52.9k,IT Services & Consulting,Dublin,"Company Culture, Job Security, Skill Development Learning",Promotions Appraisal
Wipro,3.7,50.3k,IT Services & Consulting,Bangalore/Bengaluru,Job Security,"Promotions Appraisal, Salary & Benefits"
Cognizant,3.8,47.3k,IT Services & Consulting,Teaneck.,,"Promotions Appraisal, Salary & Benefits"
Capgemini,3.8,39.1k,IT Services & Consulting,Paris,"Job Security, Work Life Balance","Promotions Appraisal, Salary & Benefits"
HDFC Bank,3.9,37.6k,Banking,Mumbai,"Job Security, Skill Development Learning",Promotions Appraisal
ICICI Bank,4.0,36.7k,Banking,Mumbai,"Job Security, Skill Development Learning, Company Culture",
Infosys,3.7,36.6k,IT Services & Consulting,Bengaluru/Bangalore,"Job Security, Company Culture","Promotions Appraisal, Salary & Benefits, Work Satisfaction"
HCLTech,3.5,33.8k,IT Services & Consulting,Noida,Job Security,"Promotions Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,33.2k,IT Services & Consulting,Pune,,"Promotions Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,29.9k,IT Services & Consulting,New,"Job Security, Work Life Balance, Skill Development Learning","Promotions Appraisal, Salary & Benefits"
Teleperformance,3.9,27.4k,BPO,Paris,"Skill Development Learning, Job Security, Company Culture",
Concentrix Corporation,3.8,25.1k,BPO,Fremont,Job Security,"Promotions Appraisal, Salary & Benefits"
Axis Bank,3.8,24.2k,Banking,Mumbai,,Promotions Appraisal
Amazon,4.1,24k,Internet,Seattle,"Company Culture, Salary & Benefits, Work Life Balance",
Jio,3.9,21.7k,Navi Mumbai +1199 other locations,,"Job Security, Skill Development Learning",Promotions Appraisal
Reliance Retail,3.9,21.3k,Retail,Ghansoli,"Skill Development Learning, Job Security",Promotions Appraisal
IBM,4.1,21.2k,IT Services & Consulting,Armonk,"Work Life Balance, Job Security, Skill Development Learning",Promotions Appraisal
iEnergizer,4.7,20.9k,BPO,Noida,"Company Culture, Skill Development Learning, Job Security",
LTIMindtree,3.9,19.8k,IT Services & Consulting,Toronto,"Work Life Balance, Skill Development Learning, Job Security","Promotions Appraisal, Salary & Benefits"
HDB Financial Services,4.0,19.5k,NBFC,Ahmedabad,"Skill Development Learning, Job Security, Company Culture",Promotions Appraisal
Larsen & Toubro Limited,4.0,17.8k,Engineering & Construction,Mumbai,"Job Security, Skill Development Learning, Salary & Benefits",Promotions Appraisal
